text,label
"This guide explains how DNS works, common record types, and troubleshooting steps with clear examples.",1
"This documentation describes API endpoints, authentication, rate limits, and error handling best practices.",1
"This article compares caching strategies, performance trade-offs, and real-world use cases.",1
"Step-by-step tutorial on securing web applications with HTTPS and certificate management.",1
"An in-depth overview of cloud storage architectures and data consistency models.",1
"Learn how load balancers distribute traffic and improve application availability.",1
"Technical overview of database indexing techniques and query optimization.",1
"Guide to RESTful API design principles with sample requests and responses.",1
"Explanation of distributed systems concepts including consistency and fault tolerance.",1
"Tutorial explaining how message queues work and when to use them.",1
"BUY NOW!!! LIMITED OFFER!!! CLICK HERE TO WIN FREE PRIZES!!!",0
"Make money fast working from home!!! Guaranteed income!!!",0
"Congratulations!!! You are selected for a free iPhone!!! Claim now!!!",0
"Cheap deals cheap deals cheap deals click click click!!!",0
"Earn $5000 a week with no skills required!!!",0
"Win big today!!! Act now before it’s gone!!!",0
"Best price ever!!! Don’t miss this chance!!!",0
"Free gift cards!!! Just sign up now!!!",0
"Instant cash payout!!! No experience needed!!!",0
"Limited time sale!!! Hurry hurry hurry!!!",0
